Method,Run_Name,Run_ID,Project_Variant,Test_AUROC,Test_AP,Test_F1,Test_Balanced_Accuracy,Total_Runs,Successful_Runs,Status
MDAE (Combined),resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-29-15,7245181983.64334-c7496e30-9247,july,0.920634925365448,0.8950235247612,0.8449280858039856,0.8523809909820557,1,1,Success
MAE,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-23-42,7245182353.66114-94de096d-a505,july,0.9007936716079712,0.8844053745269775,0.7548972368240356,0.7214285731315613,10,9,Success
S3D,resenc_S3D_pretrained_multi_flair_t1_t1ce_t2_2025-08-12_23-32-37,7244958580.04351-c54e225d-79a1,july,0.8936507701873779,0.8359763622283936,0.7918864488601685,0.7857142686843872,2,2,Success
DinoV2,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_08-08-44,7246323557.09408-f7e416cf-d808,standard,0.8809523582458496,0.8490343689918518,0.7631579041481018,0.8142857551574707,13,5,Success
BrainMVP,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-03-25,7245191105.20592-22c735a6-d92a,july,0.8523809909820557,0.8361515998840332,0.7632890343666077,0.7523809671401978,8,8,Success
MG,resenc_MG_pretrained_multi_flair_t1_t1ce_t2_2025-08-13_00-32-44,7244955321.77394-4a103b64-4405,july,0.8492063283920288,0.8246489763259888,0.6381556987762451,0.688095211982727,3,1,Success
VoCo,resenc_VoCo_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_10-36-41,7245178225.39486-0ffb451f-3fce,july,0.8476190567016602,0.817467212677002,0.808080792427063,0.8285714387893677,5,4,Success
VF,resenc_VF_pretrained_multi_flair_t1_t1ce_t2_2025-08-13_00-25-39,7244955392.29902-deeea7c8-1862,july,0.8365079164505005,0.8513386249542236,0.3436041176319122,0.5166666507720947,2,2,Success
SwinUNETR,resenc_SwinUNETR_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_10-14-13,7245179295.31599-2e0cf35c-878d,july,0.8269841074943542,0.7517668008804321,0.7236841917037964,0.7690476179122925,4,3,Success
ResNet-50,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-08-12_23-11-59,7244959808.47352-4d8aa1e5-0f2e,july,0.8142857551574707,0.7540825605392456,0.7361111640930176,0.811904788017273,5,3,Success
SimCLR,resenc_SimCLR_pretrained_multi_flair_t1_t1ce_t2_2025-08-12_23-21-55,7244959559.65646-7491d173-f77a,july,0.7873015403747559,0.7504017353057861,0.6842105388641357,0.723809540271759,3,2,Success
BrainIAC,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-24,7246598273.80880-6a9b145f-89e9,standard,0.7825396656990051,0.7713115215301514,0.4242424368858337,0.5,7,4,Success
MRI-Core,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-29_02-36-16,7246244080.18616-f5ae48b6-c90f,standard,0.6746032238006592,0.5949768424034119,0.4242424368858337,0.5,17,3,Success
